The video is over!
Time of video Queue Density, Dynamic Density
51.9552, 0.646049, 0
52.0218, 0.64598, 0
52.0884, 0.652041, 0
52.155, 0.653152, 0
52.2216, 0.65429, 0
52.2882, 0.651952, 0
52.3548, 0.651181, 0
52.4214, 0.652955, 0
52.488, 0.653005, 0
52.5546, 0.65164, 0
52.6213, 0.653742, 0
52.6879, 0.662002, 0
52.7545, 0.665378, 0
52.8211, 0.667573, 0
52.8877, 0.669707, 0
52.9543, 0.632149, 0
53.0209, 0.628974, 0
53.0875, 0.631794, 0
53.1541, 0.638696, 0
53.2207, 0.638387, 0
53.2873, 0.643719, 0
53.354, 0.648792, 0
53.4206, 0.650015, 0
53.4872, 0.649676, 0
53.5538, 0.645787, 0
53.6204, 0.652199, 0
53.687, 0.650648, 0
53.7536, 0.653542, 0
53.8202, 0.656624, 0
53.8868, 0.656543, 0
53.9534, 0.657272, 0
54.02, 0.658067, 0
54.0867, 0.658206, 0
54.1533, 0.660054, 0
54.2199, 0.660957, 0
54.2865, 0.66206, 0
54.3531, 0.659772, 0
54.4197, 0.663711, 0
54.4863, 0.663499, 0
54.5529, 0.666235, 0
54.6195, 0.657022, 0
54.6861, 0.657577, 0
54.7527, 0.656574, 0
54.8194, 0.65816, 0
54.886, 0.662743, 0
54.9526, 0.660216, 0
55.0192, 0.661188, 0
55.0858, 0.66287, 0
55.1524, 0.662975, 0
55.219, 0.663272, 0
55.2856, 0.664194, 0
55.3522, 0.667932, 0
55.4188, 0.666717, 0
55.4854, 0.667658, 0
55.5521, 0.669309, 0
55.6187, 0.670509, 0
55.6853, 0.669379, 0
55.7519, 0.671161, 0
55.8185, 0.6713, 0
55.8851, 0.674992, 0
55.9517, 0.674468, 0
56.0183, 0.676227, 0
56.0849, 0.675343, 0
56.1515, 0.677535, 0
56.2181, 0.678029, 0
56.2848, 0.67495, 0
56.3514, 0.672191, 0
56.418, 0.672658, 0
56.4846, 0.676887, 0
56.5512, 0.67157, 0
56.6178, 0.678704, 0
56.6844, 0.678094, 0
56.751, 0.680285, 0
56.8176, 0.675471, 0
56.8842, 0.67841, 0
56.9508, 0.676682, 0
57.0175, 0.680633, 0
57.0841, 0.677276, 0
57.1507, 0.681242, 0
57.2173, 0.681736, 0
57.2839, 0.680934, 0
57.3505, 0.682492, 0
57.4171, 0.682014, 0
57.4837, 0.683013, 0
57.5503, 0.682828, 0
57.6169, 0.68478, 0
57.6836, 0.684024, 0
57.7502, 0.685386, 0
57.8168, 0.683264, 0
57.8834, 0.684718, 0
57.95, 0.665378, 0
58.0166, 0.66613, 0
58.0832, 0.665559, 0
58.1498, 0.667924, 0
58.2164, 0.670733, 0
58.283, 0.669769, 0
58.3496, 0.668472, 0
58.4163, 0.66902, 0
58.4829, 0.669873, 0
58.5495, 0.670428, 0
58.6161, 0.656771, 0
58.6827, 0.656647, 0
58.7493, 0.656204, 0
58.8159, 0.655212, 0
58.8825, 0.655417, 0
58.9491, 0.657847, 0
59.0157, 0.657843, 0
59.0823, 0.658495, 0
59.149, 0.660733, 0
59.2156, 0.661829, 0
