The video is over!
Frame Number 	Queue Density
1139		0.666451
1140		0.671373
1141		0.669911
1142		0.670999
1143		0.666644
1144		0.668167
1145		0.66843
1146		0.667874
1147		0.670374
1148		0.671053
1149		0.67429
1150		0.672504
1151		0.674614
1152		0.674537
1153		0.676188
1154		0.67652
1155		0.669498
1156		0.671894
1157		0.672469
1158		0.67093
1159		0.672191
1160		0.676481
1161		0.682786
1162		0.681771
1163		0.68265
1164		0.682187
1165		0.680783
1166		0.683372
1167		0.686493
1168		0.68005
1169		0.681273
1170		0.682697
1171		0.683322
1172		0.687315
1173		0.683823
1174		0.680166
1175		0.682446
1176		0.684167
1177		0.683742
1178		0.685907
1179		0.682789
1180		0.686107
1181		0.687874
1182		0.686867
1183		0.688156
1184		0.689591
1185		0.686933
1186		0.679371
1187		0.680702
1188		0.679695
1189		0.683214
1190		0.678985
1191		0.681393
1192		0.675733
1193		0.678939
1194		0.682214
1195		0.680779
1196		0.677863
1197		0.681049
1198		0.68392
1199		0.686319
1200		0.683086
1201		0.683607
1202		0.682531
1203		0.681462
1204		0.684487
1205		0.684097
1206		0.684271
1207		0.685826
1208		0.681779
1209		0.68267
1210		0.682562
1211		0.675367
1212		0.673789
1213		0.672886
1214		0.672843
1215		0.673457
1216		0.670849
1217		0.675324
1218		0.675502
1219		0.678449
1220		0.680571
1221		0.682569
1222		0.682157
1223		0.681559
1224		0.683329
1225		0.684672
1226		0.685463
1227		0.683414
1228		0.683796
1229		0.683951
1230		0.687377
1231		0.688275
1232		0.684992
1233		0.684703
1234		0.685336
1235		0.684961
1236		0.68968
1237		0.688002
1238		0.689082
1239		0.692639
1240		0.694275
1241		0.693329
1242		0.695309
1243		0.695625
1244		0.695189
1245		0.697288
1246		0.691235
1247		0.693229
1248		0.697222
1249		0.69267
1250		0.693067
1251		0.684105
1252		0.683912
1253		0.684591
1254		0.682612
1255		0.686169
1256		0.685887
1257		0.691123
1258		0.692959
1259		0.691551
1260		0.694213
1261		0.672338
1262		0.675289
1263		0.678877
1264		0.678133
1265		0.680667
1266		0.681123
1267		0.681073
1268		0.67713
1269		0.68434
1270		0.683654
1271		0.686458
1272		0.686474
1273		0.685845
1274		0.687226
1275		0.68375
1276		0.683769
1277		0.687299
1278		0.684718
1279		0.682728
1280		0.681181
1281		0.678843
1282		0.677014
1283		0.677373
1284		0.677218
1285		0.679267
1286		0.685694
1287		0.686408
1288		0.685876
1289		0.68625
1290		0.689641
1291		0.690112
1292		0.688546
1293		0.691485
1294		0.692473
1295		0.692488
1296		0.691231
1297		0.69456
1298		0.690475
1299		0.684873
1300		0.690324
1301		0.686408
1302		0.687886
1303		0.691208
1304		0.690556
1305		0.688407
1306		0.68576
1307		0.684946
1308		0.685432
1309		0.687184
1310		0.683769
1311		0.662569
1312		0.662438
1313		0.663654
1314		0.664444
1315		0.666451
1316		0.663241
1317		0.66674
1318		0.66777
1319		0.669313
1320		0.673048
1321		0.672635
1322		0.674113
1323		0.671844
1324		0.668754
1325		0.668395
1326		0.67517
1327		0.670448
1328		0.67576
1329		0.673302
1330		0.672076
1331		0.676451
1332		0.674522
1333		0.675093
1334		0.674421
1335		0.672577
1336		0.667442
1337		0.67071
1338		0.668264
1339		0.670123
1340		0.66701
1341		0.668831
1342		0.668083
1343		0.667689
1344		0.668692
1345		0.667542
1346		0.668129
1347		0.669263
1348		0.670235
1349		0.67103
1350		0.671358
1351		0.670181
1352		0.672041
1353		0.670293
1354		0.67311
1355		0.674448
1356		0.674406
1357		0.675853
1358		0.674012
1359		0.672812
1360		0.672539
1361		0.660532
1362		0.661026
1363		0.66387
1364		0.669066
1365		0.666879
1366		0.670177
1367		0.666709
1368		0.667076
1369		0.665964
1370		0.669861
1371		0.668372
1372		0.666875
1373		0.667801
1374		0.666782
1375		0.669649
1376		0.668491
1377		0.668491
1378		0.67157
1379		0.670116
1380		0.668538
1381		0.670679
1382		0.670914
1383		0.669093
1384		0.672461
1385		0.669032
1386		0.67142
1387		0.672099
1388		0.673063
1389		0.674267
1390		0.673584
1391		0.679583
1392		0.681003
1393		0.678943
1394		0.67826
1395		0.683916
1396		0.680683
1397		0.681111
1398		0.682863
1399		0.683966
1400		0.683171
1401		0.683553
1402		0.685895
1403		0.686053
1404		0.684958
1405		0.683638
1406		0.68358
1407		0.681393
1408		0.684182
1409		0.685174
1410		0.685131
1411		0.672994
1412		0.673036
1413		0.675058
1414		0.678383
1415		0.676084
1416		0.675964
1417		0.67963
1418		0.679857
1419		0.6786
1420		0.679761
1421		0.680864
1422		0.683295
1423		0.683696
1424		0.684248
1425		0.684857
1426		0.685575
1427		0.688005
1428		0.687195
1429		0.690343
1430		0.692917
1431		0.696493
1432		0.698044
1433		0.699556
1434		0.701589
1435		0.704811
1436		0.706489
1437		0.70419
1438		0.707542
1439		0.707774
1440		0.708086
1441		0.713353
1442		0.713333
1443		0.716829
1444		0.721705
1445		0.721316
1446		0.726269
1447		0.727936
1448		0.726933
1449		0.729514
1450		0.730563
1451		0.734456
1452		0.737593
1453		0.739174
1454		0.742245
1455		0.746983
1456		0.748704
1457		0.749988
1458		0.755008
1459		0.758665
1460		0.756053
1461		0.726655
1462		0.730424
1463		0.729707
1464		0.724776
1465		0.726142
1466		0.72637
1467		0.732477
1468		0.732577
1469		0.731929
1470		0.736447
1471		0.736211
1472		0.740112
1473		0.743615
1474		0.746235
1475		0.743117
1476		0.74588
1477		0.743198
1478		0.750255
1479		0.749456
1480		0.751366
1481		0.754009
1482		0.753079
1483		0.754259
1484		0.759298
1485		0.76152
1486		0.757967
1487		0.758758
1488		0.757878
1489		0.760035
1490		0.761003
1491		0.761165
1492		0.760617
1493		0.761875
1494		0.764325
1495		0.761968
1496		0.761015
1497		0.761439
1498		0.764456
1499		0.7599
1500		0.750201
1501		0.714078
1502		0.717253
1503		0.70777
1504		0.713164
1505		0.719371
1506		0.720721
1507		0.719236
1508		0.724051
1509		0.71838
1510		0.719024
1511		0.728229
1512		0.725478
1513		0.727797
1514		0.726856
1515		0.731019
1516		0.703376
1517		0.692485
1518		0.686173
